accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG2350	0.0	11347	36.0	455582	0.0	7.901980324068993e-05	0.0
COG3024	0.0	11347	36.0	455582	0.0	7.901980324068993e-05	0.0
COG2832	0.0	11347	35.0	455582	0.0	7.682480870622632e-05	0.0
COG4256	0.0	11347	34.0	455582	0.0	7.462981417176272e-05	0.0
COG3123	0.0	11347	33.0	455582	0.0	7.24348196372991e-05	0.0
COG5467	0.0	11347	33.0	455582	0.0	7.24348196372991e-05	0.0
COG4519	0.0	11347	30.0	455582	0.0	6.584983603390828e-05	0.0
COG4839	0.0	11347	29.0	455582	0.0	6.365484149944467e-05	0.0
COG3313	0.0	11347	27.0	455582	0.0	5.926485243051745e-05	0.0
COG2168	0.0	11347	27.0	455582	0.0	5.926485243051745e-05	0.0
COG5004	0.0	11347	27.0	455582	0.0	5.926485243051745e-05	0.0
COG2149	0.0	11347	26.0	455582	0.0	5.706985789605384e-05	0.0
COG2161	0.0	11347	26.0	455582	0.0	5.706985789605384e-05	0.0
COG0089	0.0	11347	26.0	455582	0.0	5.706985789605384e-05	0.0
COG3784	0.0	11347	25.0	455582	0.0	5.487486336159023e-05	0.0
